Covid-19 Population Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 3 17 1 2 7 9 3 51 1 38 32 4 12 1 45 121 14 1 18 132 1 4 2 27 45 1 33 48 1 47 6 12 740
1.0 4 19 1 2 8 11 4 59 1 45 37 5 14 1 52 141 17 1 21 154 1 5 2 31 52 1 39 55 1 54 7 14 862
2.0 4 22 1 3 9 12 4 66 1 50 42 5 16 1 58 157 19 1 23 172 1 5 3 35 58 1 43 62 1 61 8 16 962
3.0 4 24 1 3 10 13 4 72 1 54 46 6 18 1 63 172 21 1 25 188 1 6 3 38 63 1 47 68 1 66 9 18 1051
4.0 5 25 2 3 11 14 5 78 2 59 49 6 19 2 68 185 22 2 27 203 2 6 3 41 68 2 51 73 2 71 10 19 1133
5.0 5 27 2 3 12 15 5 83 2 63 53 7 20 2 73 198 24 2 29 217 2 7 3 44 73 2 54 78 2 76 10 20 1212
6.0 5 29 2 4 13 16 5 88 2 67 56 7 22 2 77 211 25 2 31 231 2 7 4 47 77 2 58 83 2 81 11 22 1288
7.0 6 30 2 4 13 17 6 93 2 70 59 8 23 2 82 223 27 2 32 244 2 8 4 49 82 2 61 88 2 86 11 23 1361
8.0 6 32 2 4 14 18 6 98 2 74 62 8 24 2 86 234 28 2 34 256 2 8 4 52 86 2 64 92 2 90 12 24 1431
9.0 6 34 2 4 15 19 6 103 2 77 65 8 25 2 90 245 29 2 36 268 2 8 4 54 90 2 67 96 2 94 13 25 1497
10.0 7 35 2 4 15 20 7 107 2 81 68 9 26 2 94 255 31 2 37 279 2 9 4 57 94 2 70 100 2 98 13 26 1560
11.0 7 36 2 5 16 20 7 111 2 84 70 9 27 2 97 265 32 2 38 290 2 9 5 59 97 2 72 104 2 102 14 27 1619
12.0 7 37 2 5 16 21 7 115 2 87 73 9 28 2 101 274 33 2 40 300 2 9 5 61 101 2 75 108 2 105 14 28 1674
13.0 7 39 2 5 17 22 7 118 2 89 75 10 29 2 104 282 34 2 41 309 2 10 5 63 104 2 77 111 2 109 14 29 1724
14.0 7 40 2 5 17 22 7 121 2 92 77 10 30 2 106 290 35 2 42 317 2 10 5 64 106 2 79 114 2 111 15 30 1770
15.0 8 41 3 5 18 23 8 124 3 94 78 10 30 3 109 296 35 3 43 324 3 10 5 66 109 3 81 116 3 114 15 30 1810
16.0 8 41 3 5 18 23 8 126 3 95 80 10 31 3 111 302 36 3 44 330 3 10 5 67 111 3 83 119 3 116 15 31 1844
17.0 8 42 3 5 18 24 8 128 3 97 81 10 31 3 112 306 37 3 44 335 3 10 5 68 112 3 84 120 3 118 16 31 1870
18.0 8 42 3 5 18 24 8 129 3 98 82 11 32 3 114 309 37 3 45 338 3 11 5 69 114 3 85 122 3 119 16 32 1889
