Covid-19 Quarantine Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 3 0 0 0 3 0 0 0 1 1 0 1 1 0 1 0 0 16
2.0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 3 0 0 0 4 0 0 0 1 1 0 1 1 0 1 0 0 20
3.0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 2 4 0 0 1 5 0 0 0 1 2 0 1 2 0 2 0 0 25
4.0 0 1 0 0 0 0 0 2 0 2 1 0 1 0 2 5 1 0 1 6 0 0 0 1 2 0 1 2 0 2 0 1 31
5.0 0 1 0 0 0 0 0 3 0 2 2 0 1 0 2 6 1 0 1 7 0 0 0 1 2 0 2 2 0 2 0 1 37
6.0 0 1 0 0 0 1 0 3 0 2 2 0 1 0 3 7 1 0 1 8 0 0 0 2 3 0 2 3 0 3 0 1 44
7.0 0 1 0 0 0 1 0 3 0 3 2 0 1 0 3 8 1 0 1 9 0 0 0 2 3 0 2 3 0 3 0 1 51
8.0 0 1 0 0 1 1 0 4 0 3 2 0 1 0 3 9 1 0 1 10 0 0 0 2 3 0 3 4 0 4 0 1 57
9.0 0 1 0 0 1 1 0 4 0 3 3 0 1 0 4 10 1 0 1 11 0 0 0 2 4 0 3 4 0 4 1 1 63
10.0 0 2 0 0 1 1 0 5 0 4 3 0 1 0 4 11 1 0 2 12 0 0 0 2 4 0 3 4 0 4 1 1 68
11.0 0 2 0 0 1 1 0 5 0 4 3 0 1 0 4 12 1 0 2 13 0 0 0 3 4 0 3 5 0 5 1 1 72
12.0 0 2 0 0 1 1 0 5 0 4 3 0 1 0 5 12 1 0 2 14 0 0 0 3 5 0 3 5 0 5 1 1 75
13.0 0 2 0 0 1 1 0 5 0 4 3 0 1 0 5 13 2 0 2 14 0 0 0 3 5 0 4 5 0 5 1 1 78
14.0 0 2 0 0 1 1 0 6 0 4 4 0 1 0 5 13 2 0 2 14 0 0 0 3 5 0 4 5 0 5 1 1 81
15.0 0 2 0 0 1 1 0 6 0 4 4 0 1 0 5 14 2 0 2 15 0 0 0 3 5 0 4 5 0 5 1 1 83
16.0 0 2 0 0 1 1 0 6 0 4 4 0 1 0 5 14 2 0 2 15 0 0 0 3 5 0 4 6 0 5 1 1 86
17.0 0 2 0 0 1 1 0 6 0 5 4 0 1 0 5 14 2 0 2 16 0 0 0 3 5 0 4 6 0 6 1 1 88
18.0 0 2 0 0 1 1 0 6 0 5 4 1 2 0 5 15 2 0 2 16 0 1 0 3 5 0 4 6 0 6 1 2 90
19.0 0 2 0 0 1 1 0 6 0 5 4 1 2 0 6 15 2 0 2 17 0 1 0 3 6 0 4 6 0 6 1 2 93
20.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 16 2 0 2 17 0 1 0 3 6 0 4 6 0 6 1 2 95
21.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 16 2 0 2 17 0 1 0 4 6 0 4 6 0 6 1 2 98
22.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 16 2 0 2 18 0 1 0 4 6 0 4 6 0 6 1 2 100
23.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 17 2 0 2 18 0 1 0 4 6 0 5 7 0 6 1 2 102
24.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 17 2 0 2 19 0 1 0 4 6 0 5 7 0 7 1 2 104
25.0 0 2 0 0 1 1 0 7 0 5 5 1 2 0 6 17 2 0 2 19 0 1 0 4 6 0 5 7 0 7 1 2 105
26.0 0 2 0 0 1 1 0 7 0 5 5 1 2 0 6 17 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 106
27.0 0 2 0 0 1 1 0 7 0 6 5 1 2 0 6 17 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 107
28.0 0 2 0 0 1 1 0 7 0 6 5 1 2 0 6 18 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 107
29.0 0 2 0 0 1 1 0 7 0 6 5 1 2 0 6 18 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 107
30.0 0 2 0 0 1 1 0 7 0 6 5 1 2 0 6 17 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 107
31.0 0 2 0 0 1 1 0 7 0 5 5 1 2 0 6 17 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 106
32.0 0 2 0 0 1 1 0 7 0 5 5 1 2 0 6 17 2 0 2 19 0 1 0 4 6 0 5 7 0 7 1 2 105
33.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 17 2 0 2 19 0 1 0 4 6 0 5 7 0 7 1 2 103
34.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 17 2 0 2 18 0 1 0 4 6 0 5 7 0 6 1 2 102
35.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 16 2 0 2 18 0 1 0 4 6 0 4 6 0 6 1 2 100
