Covid-19 Recovered Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.0 0 2 0 0 1 1 0 7 0 6 5 1 2 0 7 18 2 0 3 20 0 1 0 4 7 0 5 7 0 7 1 2 109
2.0 1 3 0 0 1 2 1 10 0 8 7 1 3 0 9 25 3 0 4 27 0 1 0 5 9 0 7 10 0 9 1 3 151
3.0 1 4 0 1 2 2 1 13 0 10 8 1 3 0 11 31 4 0 4 34 0 1 1 7 11 0 8 12 0 12 2 3 189
4.0 1 5 0 1 2 3 1 16 0 12 10 1 4 0 14 38 5 0 6 42 0 1 1 9 14 0 10 15 0 15 2 4 234
5.0 1 6 0 1 3 4 1 20 0 15 13 2 5 0 17 47 6 0 7 52 0 2 1 11 17 0 13 19 0 18 2 5 289
6.0 1 8 0 1 3 4 1 24 0 18 15 2 6 0 21 58 7 0 8 64 0 2 1 13 21 0 16 23 0 22 3 6 357
7.0 2 10 1 1 4 6 2 30 1 23 19 2 7 1 26 72 9 1 10 79 1 2 1 16 26 1 20 28 1 28 4 7 439
8.0 2 12 1 2 5 7 2 37 1 28 23 3 9 1 32 88 11 1 13 96 1 3 2 20 32 1 24 35 1 34 5 9 537
9.0 3 15 1 2 6 8 3 45 1 34 28 4 11 1 39 107 13 1 16 117 1 4 2 24 39 1 29 42 1 41 5 11 655
10.0 3 18 1 2 8 10 3 54 1 41 34 4 13 1 48 130 16 1 19 142 1 4 2 29 48 1 36 51 1 50 7 13 795
11.0 4 21 1 3 9 12 4 66 1 50 42 5 16 1 58 157 19 1 23 172 1 5 3 35 58 1 43 62 1 60 8 16 958
12.0 5 26 2 3 11 14 5 79 2 59 50 6 19 2 69 188 22 2 27 206 2 6 3 42 69 2 51 74 2 72 10 19 1149
13.0 6 31 2 4 13 17 6 94 2 71 59 8 23 2 82 224 27 2 33 245 2 8 4 50 82 2 61 88 2 86 11 23 1368
14.0 7 36 2 5 16 20 7 111 2 84 70 9 27 2 97 265 32 2 38 290 2 9 5 59 97 2 72 104 2 102 14 27 1618
15.0 8 43 3 5 19 24 8 130 3 98 82 11 32 3 114 311 37 3 45 340 3 11 5 69 114 3 85 122 3 120 16 32 1901
16.0 9 50 3 6 22 28 9 152 3 115 96 12 37 3 133 363 43 3 53 397 3 12 6 81 133 3 99 143 3 140 19 37 2217
17.0 11 57 4 7 25 32 11 176 4 133 111 14 43 4 154 420 50 4 61 460 4 14 7 93 154 4 115 165 4 162 22 43 2567
18.0 12 66 4 8 29 37 12 202 4 153 128 17 50 4 177 483 58 4 70 528 4 17 8 107 177 4 132 190 4 186 25 50 2950
19.0 14 75 5 9 33 42 14 231 5 174 146 19 56 5 202 550 66 5 80 602 5 19 9 122 202 5 151 216 5 212 28 56 3364
20.0 16 85 5 11 37 48 16 261 5 197 165 21 64 5 229 623 75 5 90 681 5 21 11 138 229 5 170 245 5 239 32 64 3805
21.0 18 96 6 12 42 54 18 293 6 221 185 24 72 6 257 699 84 6 102 765 6 24 12 155 257 6 191 275 6 269 36 72 4272
22.0 20 107 7 13 47 60 20 327 7 247 207 27 80 7 287 781 93 7 113 854 7 27 13 173 287 7 213 307 7 300 40 80 4770
23.0 22 119 7 15 52 67 22 364 7 275 230 30 89 7 319 869 104 7 126 950 7 30 15 193 319 7 238 341 7 334 45 89 5308
24.0 25 132 8 16 58 74 25 403 8 304 255 33 99 8 354 963 115 8 140 1053 8 33 16 214 354 8 263 378 8 370 49 99 5883
25.0 27 145 9 18 64 82 27 445 9 336 282 36 109 9 391 1063 127 9 154 1163 9 36 18 236 391 9 291 418 9 409 55 109 6497
26.0 30 160 10 20 70 90 30 490 10 370 310 40 120 10 430 1170 140 10 170 1280 10 40 20 260 430 10 320 460 10 450 60 120 7149
27.0 33 175 11 22 77 99 33 537 11 406 340 44 132 11 471 1283 153 11 186 1403 11 44 22 285 471 11 351 504 11 493 66 132 7839
28.0 36 192 12 24 84 108 36 587 12 443 371 48 144 12 515 1402 168 12 204 1534 12 48 24 312 515 12 383 551 12 539 72 144 8566
29.0 39 209 13 26 91 117 39 639 13 483 405 52 157 13 561 1527 183 13 222 1670 13 52 26 339 561 13 418 600 13 587 78 157 9330
