Covid-19 Recovered Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 3 0 0 0 3 0 0 0 1 1 0 1 1 0 1 0 0 16
2.0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 3 0 0 0 4 0 0 0 1 1 0 1 1 0 1 0 0 20
3.0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 1 4 0 0 1 4 0 0 0 1 1 0 1 1 0 1 0 0 23
4.0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 2 4 1 0 1 5 0 0 0 1 2 0 1 2 0 2 0 0 26
5.0 0 1 0 0 0 0 0 2 0 2 1 0 0 0 2 5 1 0 1 5 0 0 0 1 2 0 1 2 0 2 0 0 29
6.0 0 1 0 0 0 0 0 2 0 2 1 0 1 0 2 5 1 0 1 6 0 0 0 1 2 0 1 2 0 2 0 1 33
7.0 0 1 0 0 0 0 0 3 0 2 2 0 1 0 2 6 1 0 1 7 0 0 0 1 2 0 2 2 0 2 0 1 38
8.0 0 1 0 0 0 1 0 3 0 2 2 0 1 0 3 7 1 0 1 8 0 0 0 2 3 0 2 3 0 3 0 1 43
9.0 0 1 0 0 0 1 0 3 0 3 2 0 1 0 3 8 1 0 1 9 0 0 0 2 3 0 2 3 0 3 0 1 49
10.0 0 1 0 0 1 1 0 4 0 3 2 0 1 0 3 9 1 0 1 10 0 0 0 2 3 0 2 4 0 3 0 1 55
11.0 0 1 0 0 1 1 0 4 0 3 3 0 1 0 4 10 1 0 1 11 0 0 0 2 4 0 3 4 0 4 1 1 63
12.0 0 2 0 0 1 1 0 5 0 4 3 0 1 0 4 12 1 0 2 13 0 0 0 3 4 0 3 5 0 4 1 1 71
13.0 0 2 0 0 1 1 0 6 0 4 3 0 1 0 5 13 2 0 2 14 0 0 0 3 5 0 4 5 0 5 1 1 80
14.0 0 2 0 0 1 1 0 6 0 5 4 1 2 0 5 15 2 0 2 16 0 1 0 3 5 0 4 6 0 6 1 2 91
15.0 0 2 0 0 1 1 0 7 0 5 4 1 2 0 6 17 2 0 2 18 0 1 0 4 6 0 5 7 0 6 1 2 103
16.0 0 3 0 0 1 1 0 8 0 6 5 1 2 0 7 19 2 0 3 21 0 1 0 4 7 0 5 7 0 7 1 2 116
17.0 1 3 0 0 1 2 1 9 0 7 6 1 2 0 8 21 3 0 3 23 0 1 0 5 8 0 6 8 0 8 1 2 130
18.0 1 3 0 0 1 2 1 10 0 8 6 1 2 0 9 24 3 0 3 26 0 1 0 5 9 0 6 9 0 9 1 2 145
19.0 1 4 0 0 2 2 1 11 0 8 7 1 3 0 10 26 3 0 4 29 0 1 0 6 10 0 7 10 0 10 1 3 162
20.0 1 4 0 1 2 2 1 12 0 9 8 1 3 0 11 29 4 0 4 32 0 1 1 7 11 0 8 12 0 11 2 3 179
21.0 1 4 0 1 2 2 1 14 0 10 9 1 3 0 12 32 4 0 5 35 0 1 1 7 12 0 9 13 0 12 2 3 197
22.0 1 5 0 1 2 3 1 15 0 11 9 1 4 0 13 35 4 0 5 39 0 1 1 8 13 0 10 14 0 14 2 4 217
23.0 1 5 0 1 2 3 1 16 0 12 10 1 4 0 14 39 5 0 6 42 0 1 1 9 14 0 11 15 0 15 2 4 237
24.0 1 6 0 1 3 3 1 18 0 13 11 1 4 0 16 42 5 0 6 46 0 1 1 9 16 0 12 17 0 16 2 4 259
25.0 1 6 0 1 3 4 1 19 0 15 12 2 5 0 17 46 6 0 7 51 0 2 1 10 17 0 13 18 0 18 2 5 282
26.0 1 7 0 1 3 4 1 21 0 16 13 2 5 0 18 50 6 0 7 55 0 2 1 11 18 0 14 20 0 19 3 5 307
27.0 1 7 0 1 3 4 1 23 0 17 14 2 6 0 20 55 7 0 8 60 0 2 1 12 20 0 15 21 0 21 3 6 334
28.0 2 8 1 1 4 5 2 25 1 19 16 2 6 1 22 59 7 1 9 65 1 2 1 13 22 1 16 23 1 23 3 6 363
29.0 2 9 1 1 4 5 2 27 1 20 17 2 7 1 24 64 8 1 9 70 1 2 1 14 24 1 18 25 1 25 3 7 393
30.0 2 10 1 1 4 5 2 29 1 22 18 2 7 1 26 70 8 1 10 76 1 2 1 15 26 1 19 27 1 27 4 7 426
31.0 2 10 1 1 5 6 2 32 1 24 20 3 8 1 28 75 9 1 11 83 1 3 1 17 28 1 21 30 1 29 4 8 461
32.0 2 11 1 1 5 6 2 34 1 26 22 3 8 1 30 82 10 1 12 89 1 3 1 18 30 1 22 32 1 31 4 8 499
33.0 2 12 1 2 5 7 2 37 1 28 23 3 9 1 33 88 11 1 13 97 1 3 2 20 33 1 24 35 1 34 5 9 541
34.0 2 13 1 2 6 7 2 40 1 30 25 3 10 1 35 96 11 1 14 105 1 3 2 21 35 1 26 38 1 37 5 10 584
35.0 3 14 1 2 6 8 3 43 1 33 27 4 11 1 38 103 12 1 15 113 1 4 2 23 38 1 28 41 1 40 5 11 631
