Covid-19 Nucleation Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.0 0 2 0 0 1 1 0 6 0 5 4 1 2 0 6 15 2 0 2 17 0 1 0 3 6 0 4 6 0 6 1 2 94
2.0 0 2 0 0 1 1 0 7 0 6 5 1 2 0 6 17 2 0 3 19 0 1 0 4 6 0 5 7 0 7 1 2 107
3.0 1 3 0 0 1 2 1 8 0 6 5 1 2 0 7 20 2 0 3 22 0 1 0 4 7 0 5 8 0 8 1 2 121
4.0 1 3 0 0 1 2 1 9 0 7 6 1 2 0 8 22 3 0 3 24 0 1 0 5 8 0 6 9 0 9 1 2 137
5.0 1 3 0 0 2 2 1 11 0 8 7 1 3 0 9 25 3 0 4 28 0 1 0 6 9 0 7 10 0 10 1 3 154
6.0 1 4 0 0 2 2 1 12 0 9 8 1 3 0 10 29 3 0 4 31 0 1 0 6 10 0 8 11 0 11 1 3 174
7.0 1 4 0 1 2 2 1 13 0 10 9 1 3 0 12 32 4 0 5 35 0 1 1 7 12 0 9 13 0 12 2 3 197
8.0 1 5 0 1 2 3 1 15 0 11 10 1 4 0 13 36 4 0 5 40 0 1 1 8 13 0 10 14 0 14 2 4 222
9.0 1 6 0 1 2 3 1 17 0 13 11 1 4 0 15 41 5 0 6 45 0 1 1 9 15 0 11 16 0 16 2 4 250
10.0 1 6 0 1 3 4 1 19 0 15 12 2 5 0 17 46 6 0 7 51 0 2 1 10 17 0 13 18 0 18 2 5 282
11.0 1 7 0 1 3 4 1 22 0 16 14 2 5 0 19 52 6 0 8 57 0 2 1 12 19 0 14 20 0 20 3 5 318
12.0 2 8 1 1 4 5 2 25 1 19 16 2 6 1 22 59 7 1 9 64 1 2 1 13 22 1 16 23 1 23 3 6 359
13.0 2 9 1 1 4 5 2 28 1 21 18 2 7 1 24 66 8 1 10 72 1 2 1 15 24 1 18 26 1 25 3 7 404
14.0 2 10 1 1 4 6 2 31 1 24 20 3 8 1 27 74 9 1 11 81 1 3 1 17 27 1 20 29 1 29 4 8 455
15.0 2 11 1 1 5 6 2 35 1 27 22 3 9 1 31 84 10 1 12 92 1 3 1 19 31 1 23 33 1 32 4 9 512
16.0 2 13 1 2 6 7 2 40 1 30 25 3 10 1 35 94 11 1 14 103 1 3 2 21 35 1 26 37 1 36 5 10 577
17.0 3 15 1 2 6 8 3 44 1 34 28 4 11 1 39 106 13 1 15 116 1 4 2 24 39 1 29 42 1 41 5 11 649
18.0 3 16 1 2 7 9 3 50 1 38 32 4 12 1 44 120 14 1 17 131 1 4 2 27 44 1 33 47 1 46 6 12 731
19.0 3 18 1 2 8 10 3 56 1 43 36 5 14 1 49 135 16 1 20 147 1 5 2 30 49 1 37 53 1 52 7 14 823
20.0 4 21 1 3 9 12 4 63 1 48 40 5 16 1 56 152 18 1 22 166 1 5 3 34 56 1 41 60 1 58 8 16 926
21.0 4 23 1 3 10 13 4 71 1 54 45 6 17 1 63 171 20 1 25 187 1 6 3 38 63 1 47 67 1 66 9 17 1042
