Covid-19 Population Estimated by PSD Model @ CDS/IISc
Day AN AP AR AS BR CH CT DL GA GJ HR HP JK JH KA KL LA LD MP MH MN OR PY PB RJ SK TN TG TR UP UT WB Total
0.0 1 2 1 1 2 2 1 4 1 13 8 2 1 1 8 29 1 1 1 24 1 1 1 3 5 1 4 7 1 3 2 1 133
1.0 1 2 1 1 2 2 1 4 1 15 9 2 1 1 9 32 1 1 1 27 1 1 1 3 6 1 4 8 1 3 2 1 150
2.0 1 3 1 1 3 3 1 5 1 16 10 3 1 1 10 37 1 1 1 30 1 1 1 4 6 1 5 9 1 4 3 1 170
3.0 1 3 1 1 3 3 1 6 1 19 11 3 1 1 11 42 1 1 1 34 1 1 1 4 7 1 6 10 1 4 3 1 192
4.0 2 3 2 2 3 3 2 6 2 21 13 3 2 2 13 47 2 2 2 39 2 2 2 5 8 2 6 11 2 5 3 2 217
5.0 2 4 2 2 4 4 2 7 2 24 15 4 2 2 15 53 2 2 2 44 2 2 2 5 9 2 7 13 2 5 4 2 245
6.0 2 4 2 2 4 4 2 8 2 27 17 4 2 2 17 60 2 2 2 50 2 2 2 6 10 2 8 14 2 6 4 2 277
7.0 2 5 2 2 5 5 2 9 2 30 19 5 2 2 19 68 2 2 2 56 2 2 2 7 12 2 9 16 2 7 5 2 312
8.0 3 5 3 3 5 5 3 11 3 34 21 5 3 3 21 76 3 3 3 63 3 3 3 8 13 3 11 18 3 8 5 3 352
9.0 3 6 3 3 6 6 3 12 3 39 24 6 3 3 24 86 3 3 3 71 3 3 3 9 15 3 12 21 3 9 6 3 397
10.0 3 7 3 3 7 7 3 13 3 43 27 7 3 3 27 97 3 3 3 80 3 3 3 10 17 3 13 23 3 10 7 3 448
11.0 4 8 4 4 8 8 4 15 4 49 30 8 4 4 30 109 4 4 4 90 4 4 4 11 19 4 15 26 4 11 8 4 505
12.0 4 8 4 4 8 8 4 17 4 55 34 8 4 4 34 123 4 4 4 102 4 4 4 13 21 4 17 30 4 13 8 4 568
13.0 5 10 5 5 10 10 5 19 5 62 38 10 5 5 38 139 5 5 5 115 5 5 5 14 24 5 19 33 5 14 10 5 640
14.0 5 11 5 5 11 11 5 22 5 70 43 11 5 5 43 156 5 5 5 129 5 5 5 16 27 5 22 38 5 16 11 5 721
15.0 6 12 6 6 12 12 6 24 6 79 48 12 6 6 48 176 6 6 6 145 6 6 6 18 30 6 24 42 6 18 12 6 812
16.0 7 14 7 7 14 14 7 27 7 89 55 14 7 7 55 198 7 7 7 164 7 7 7 20 34 7 27 48 7 20 14 7 914
17.0 8 15 8 8 15 15 8 31 8 100 61 15 8 8 61 223 8 8 8 184 8 8 8 23 38 8 31 54 8 23 15 8 1029
18.0 9 17 9 9 17 17 9 35 9 112 69 17 9 9 69 251 9 9 9 207 9 9 9 26 43 9 35 61 9 26 17 9 1158
19.0 10 19 10 10 19 19 10 39 10 126 78 19 10 10 78 282 10 10 10 234 10 10 10 29 49 10 39 68 10 29 19 10 1304
20.0 11 22 11 11 22 22 11 44 11 142 88 22 11 11 88 318 11 11 11 263 11 11 11 33 55 11 44 77 11 33 22 11 1467
21.0 12 25 12 12 25 25 12 49 12 160 99 25 12 12 99 357 12 12 12 296 12 12 12 37 62 12 49 86 12 37 25 12 1651
22.0 14 28 14 14 28 28 14 55 14 180 111 28 14 14 111 402 14 14 14 333 14 14 14 42 69 14 55 97 14 42 28 14 1858
23.0 16 31 16 16 31 31 16 62 16 203 125 31 16 16 125 453 16 16 16 375 16 16 16 47 78 16 62 109 16 47 31 16 2091
24.0 18 35 18 18 35 35 18 70 18 228 140 35 18 18 140 509 18 18 18 421 18 18 18 53 88 18 70 123 18 53 35 18 2353
25.0 20 40 20 20 40 40 20 79 20 257 158 40 20 20 158 573 20 20 20 474 20 20 20 59 99 20 79 138 20 59 40 20 2648
26.0 22 44 22 22 44 44 22 89 22 289 178 44 22 22 178 645 22 22 22 534 22 22 22 67 111 22 89 156 22 67 44 22 2979
27.0 25 50 25 25 50 50 25 100 25 325 200 50 25 25 200 725 25 25 25 600 25 25 25 75 125 25 100 175 25 75 50 25 3352
28.0 28 56 28 28 56 56 28 113 28 366 225 56 28 28 225 816 28 28 28 675 28 28 28 84 141 28 113 197 28 84 56 28 3771
29.0 32 63 32 32 63 63 32 127 32 412 253 63 32 32 253 918 32 32 32 760 32 32 32 95 158 32 127 222 32 95 63 32 4242
30.0 36 71 36 36 71 71 36 142 36 463 285 71 36 36 285 1033 36 36 36 855 36 36 36 107 178 36 142 249 36 107 71 36 4772
31.0 40 80 40 40 80 80 40 160 40 521 321 80 40 40 321 1162 40 40 40 962 40 40 40 120 200 40 160 280 40 120 80 40 5369
32.0 45 90 45 45 90 90 45 180 45 586 361 90 45 45 361 1307 45 45 45 1082 45 45 45 135 225 45 180 316 45 135 90 45 6040
33.0 51 101 51 51 101 101 51 203 51 659 406 101 51 51 406 1471 51 51 51 1217 51 51 51 152 254 51 203 355 51 152 101 51 6795
34.0 57 114 57 57 114 114 57 228 57 742 456 114 57 57 456 1654 57 57 57 1369 57 57 57 171 285 57 228 399 57 171 114 57 7644
35.0 64 128 64 64 128 128 64 257 64 834 513 128 64 64 513 1861 64 64 64 1540 64 64 64 193 321 64 257 449 64 193 128 64 8599
36.0 72 144 72 72 144 144 72 289 72 938 577 144 72 72 577 2093 72 72 72 1732 72 72 72 217 361 72 289 505 72 217 144 72 9673
37.0 81 162 81 81 162 162 81 325 81 1056 650 162 81 81 650 2355 81 81 81 1949 81 81 81 244 406 81 325 568 81 244 162 81 10881
38.0 91 183 91 91 183 183 91 365 91 1188 731 183 91 91 731 2649 91 91 91 2192 91 91 91 274 457 91 365 639 91 274 183 91 12241
39.0 103 206 103 103 206 206 103 411 103 1336 822 206 103 103 822 2980 103 103 103 2466 103 103 103 308 514 103 411 719 103 308 206 103 13770
40.0 116 231 116 116 231 231 116 462 116 1503 925 231 116 116 925 3352 116 116 116 2774 116 116 116 347 578 116 462 809 116 347 231 116 15489
41.0 130 260 130 130 260 260 130 520 130 1690 1040 260 130 130 1040 3771 130 130 130 3121 130 130 130 390 650 130 520 910 130 390 260 130 17424
42.0 146 293 146 146 293 293 146 585 146 1901 1170 293 146 146 1170 4242 146 146 146 3510 146 146 146 439 731 146 585 1024 146 439 293 146 19600
43.0 165 329 165 165 329 329 165 658 165 2139 1316 329 165 165 1316 4771 165 165 165 3949 165 165 165 494 823 165 658 1152 165 494 329 165 22047
44.0 185 370 185 185 370 370 185 740 185 2406 1481 370 185 185 1481 5367 185 185 185 4442 185 185 185 555 925 185 740 1296 185 555 370 185 24801
45.0 208 416 208 208 416 416 208 833 208 2706 1666 416 208 208 1666 6038 208 208 208 4997 208 208 208 625 1041 208 833 1457 208 625 416 208 27898
46.0 234 468 234 234 468 468 234 937 234 3044 1874 468 234 234 1874 6791 234 234 234 5621 234 234 234 703 1171 234 937 1639 234 703 468 234 31381
47.0 263 527 263 263 527 527 263 1054 263 3425 2107 527 263 263 2107 7640 263 263 263 6322 263 263 263 790 1317 263 1054 1844 263 790 527 263 35300
48.0 296 593 296 296 593 593 296 1185 296 3852 2371 593 296 296 2371 8593 296 296 296 7112 296 296 296 889 1482 296 1185 2074 296 889 593 296 39708
49.0 333 667 333 333 667 667 333 1333 333 4333 2667 667 333 333 2667 9667 333 333 333 8000 333 333 333 1000 1667 333 1333 2333 333 1000 667 333 44666
50.0 375 750 375 375 750 750 375 1500 375 4874 3000 750 375 375 3000 10874 375 375 375 8999 375 375 375 1125 1875 375 1500 2625 375 1125 750 375 50243
51.0 422 844 422 422 844 844 422 1687 422 5483 3374 844 422 422 3374 12231 422 422 422 10122 422 422 422 1265 2109 422 1687 2952 422 1265 844 422 56517
52.0 474 949 474 474 949 949 474 1898 474 6168 3795 949 474 474 3795 13758 474 474 474 11386 474 474 474 1423 2372 474 1898 3321 474 1423 949 474 63573
53.0 534 1067 534 534 1067 1067 534 2135 534 6938 4269 1067 534 534 4269 15476 534 534 534 12808 534 534 534 1601 2668 534 2135 3736 534 1601 1067 534 71511
54.0 600 1201 600 600 1201 1201 600 2401 600 7804 4802 1201 600 600 4802 17409 600 600 600 14407 600 600 600 1801 3001 600 2401 4202 600 1801 1201 600 80440
55.0 675 1351 675 675 1351 1351 675 2701 675 8778 5402 1351 675 675 5402 19582 675 675 675 16206 675 675 675 2026 3376 675 2701 4727 675 2026 1351 675 90484
56.0 760 1519 760 760 1519 1519 760 3038 760 9874 6076 1519 760 760 6076 22027 760 760 760 18229 760 760 760 2279 3798 760 3038 5317 760 2279 1519 760 101781
57.0 854 1709 854 854 1709 1709 854 3418 854 11107 6835 1709 854 854 6835 24778 854 854 854 20506 854 854 854 2563 4272 854 3418 5981 854 2563 1709 854 114489
58.0 961 1922 961 961 1922 1922 961 3844 961 12494 7689 1922 961 961 7689 27871 961 961 961 23066 961 961 961 2883 4805 961 3844 6728 961 2883 1922 961 128784
59.0 1081 2162 1081 1081 2162 2162 1081 4324 1081 14054 8649 2162 1081 1081 8649 31351 1081 1081 1081 25946 1081 1081 1081 3243 5405 1081 4324 7567 1081 3243 2162 1081 144863
60.0 1216 2432 1216 1216 2432 2432 1216 4864 1216 15809 9728 2432 1216 1216 9728 35265 1216 1216 1216 29185 1216 1216 1216 3648 6080 1216 4864 8512 1216 3648 2432 1216 162950
61.0 1368 2736 1368 1368 2736 2736 1368 5472 1368 17782 10943 2736 1368 1368 10943 39668 1368 1368 1368 32829 1368 1368 1368 4104 6839 1368 5472 9575 1368 4104 2736 1368 183295
